kgID	mRNA	geneSymbol	refseq
uc031raq.1	NM_001261434	AARSD1	NM_001261434
uc010cyu.2	AK309477	AARSD1	NM_001261434
uc003hbn.3	NM_181806	AASDH	NM_181806
uc003hbo.3	AF516672	AASDH	NM_181806
uc003hbp.3	BC141824	AASDH	NM_181806
uc011caa.2	AK303733	AASDH	-
uc011cab.2	AK294332	AASDH	-
uc010ihc.3	BC142709	AASDH	-
uc010ihb.3	BX640635	AASDH	-
uc003hbq.1	BC015096	AASDH	-
uc001pjc.1	NM_015423	AASDHPPT	NM_015423
uc001pjd.1	AF136978	AASDHPPT	NM_015423
uc010rvn.1	AK293362	AASDHPPT	-
uc003vkb.3	NM_005763	AASS	NM_005763
uc003vka.3	AJ007714	AASS	NM_005763
uc011knu.2	BC144247	AASS	-
uc011knv.2	BC144246	AASS	-
uc011knw.2	AK294326	AASS	-
uc002hni.3	NM_012138	AATF	NM_012138
uc010dia.3	NM_001080395	AATK	NM_001080395
uc021ueu.1	NM_004920	AATK	NM_004920
uc010dhz.3	AK094931	AATK	-
uc010wul.1	NR_027255	AATK-AS1	NR_027255
uc010wuk.1	BC171777	AATK-AS1	-
uc003ggg.1	AB000466	AB000466	-
uc001eso.1	AB007962	AB007962	-
uc021xlu.1	AB059369	AB059369	-
uc011mvt.1	AB062081	AB062081	-
uc021tnv.1	AB062083	AB062083	-
uc021tny.1	AB062083	AB062083	-
uc003qhb.3	AB073649	AB073649	-
uc003tqd.3	AB074160	AB074160	-
uc004bos.3	AB074162	AB074162	-
uc009wle.2	AB074166	AB074166	-
uc003jrq.3	AB074188	AB074188	-
uc021oly.1	AB075489	AB075489	-
uc021zhg.1	AB075492	AB075492	-
uc002dtz.1	AB209061	AB209061	-
uc003ydc.1	AB209185	AB209185	-
uc021wef.1	AB209315	AB209315	-
uc031rzy.1	AB209621	AB209621	-
uc001nok.2	AB231702	AB231702	-
uc001oco.3	AB231703	AB231703	-
uc001pli.1	AB231705	AB231705	-
uc001pqd.3	AB231710	AB231710	-
uc009yzi.2	AB231711	AB231711	-
uc001nne.1	AB231721	AB231721	-
uc001nnk.1	AB231722	AB231722	-
uc001piq.1	AB231723	AB231723	-
uc001phf.3	AB231724	AB231724	-
uc001now.2	AB231729	AB231729	-
uc001nov.2	AB231731	AB231731	-
uc021qjc.1	AB231739	AB231739	-
uc021qjd.1	AB231741	AB231741	-
uc001njg.1	AB231742	AB231742	-
uc001npw.1	AB231761	AB231761	-
uc001lxz.1	AB231779	AB231779	-
uc001pcz.3	AB231784	AB231784	-
uc002bfp.1	AB240015	AB240015	-
uc011arw.2	AB372727	AB372727	-
uc009ypx.3	AB429224	AB429224	-
uc021qqx.1	AB488780	AB488780	-
uc021pjs.1	AB586698	AB586698	-
uc002czd.4	NM_000663	ABAT	NM_000663
uc010bui.3	NM_001127448	ABAT	NM_001127448
uc002czc.4	NM_020686	ABAT	NM_020686
uc010buh.3	BC013965	ABAT	-
uc021tcs.1	AL137454	ABAT	-
uc004bcl.3	NM_005502	ABCA1	NM_005502
uc004bcm.3	BC034824	ABCA1	-
uc010mti.1	BC142693	ABCA1	-
uc010dfa.1	NM_080282	ABCA10	NM_080282
uc010wqs.1	AK298508	ABCA10	NM_080282
uc010dfb.1	AL832004	ABCA10	NM_080282
uc010wqt.1	BC136460	ABCA10	-
uc010dfc.1	AK310858	ABCA10	-
uc002jhz.3	AF119885	ABCA10	-
uc003gac.2	NR_002451	ABCA11P	NR_002451
uc003gad.3	BC098259	ABCA11P	-
uc011buv.2	AK303674	ABCA11P	-
uc003gae.3	BC098291	ABCA11P	-
uc010ibd.2	BC099730	ABCA11P	-
uc002vev.3	NM_015657	ABCA12	NM_015657
uc002vew.3	NM_173076	ABCA12	NM_173076
uc010zjn.2	BC144073	ABCA12	-
uc003toq.2	NM_152701	ABCA13	NM_152701
uc031sxh.1	JF913491	ABCA13	NM_152701
uc010kys.2	JF913488	ABCA13	NM_152701
uc031sxg.1	JF913492	ABCA13	NM_152701
uc010kyt.1	AK131360	ABCA13	-
uc010kyu.1	AK128516	ABCA13	-
uc003tos.1	AK128570	ABCA13	-
uc010kyr.2	AK126220	ABCA13	-
uc003top.2	BX647560	ABCA13	-
